id,qnumber,ai_score_default,ai_score_calibrated,ai_score_proportional,grade1,grade2
1402,16,0.0,50.0,59.29,B,B
1000,10,12.5,62.5,70.41,D,D
389,5,12.5,100.0,100.0,A,A
350,4,0.0,50.0,50.0,D,D
1116,12,0.0,0.0,0.0,Fx,Fx
131,2,0.0,25.0,25.0,E,D
1683,21,0.0,41.65,43.26,D,D
449,5,12.5,100.0,100.0,B,B
689,7,0.0,25.0,25.0,D,D
1209,12,0.0,0.0,0.0,Fx,Fx
864,9,20.0,80.0,86.64,A,A
229,3,0.0,100.0,100.0,A,A
318,4,0.0,0.0,0.0,E,D
1370,16,0.0,33.33,33.33,A,A
1735,22,0.0,41.65,40.27,B,B
740,8,0.0,30.0,36.59,D,D
1726,22,0.0,8.33,4.72,E,D
432,5,12.5,62.5,68.87,Fx,Fx
542,6,33.34,83.33,79.14,A,A
1827,23,0.0,24.99,12.54,E,E
88,1,25.0,75.0,70.32,B,B
